Municipality,Points
Vega,"[(65.68082032347718, 11.920446835911472), (65.68082032347718, 11.924446835911471), (65.68082032347718, 11.92844683591147), (65.68082032347718, 11.93244683591147), (65.68082032347718, 11.93644683591147), (65.68482032347718, 11.920446835911472), (65.68482032347718, 11.924446835911471), (65.68482032347718, 11.92844683591147), (65.68482032347718, 11.93244683591147), (65.68482032347718, 11.93644683591147)]"
Vestvågøy,"[(68.24444086921302, 13.58756996300161), (68.24444086921302, 13.591569963001609), (68.24444086921302, 13.595569963001608), (68.24444086921302, 13.599569963001608), (68.24444086921302, 13.603569963001608), (68.24844086921303, 13.58756996300161), (68.24844086921303, 13.591569963001609), (68.24844086921303, 13.595569963001608), (68.24844086921303, 13.599569963001608), (68.24844086921303, 13.603569963001608)]"
Vevelstad,"[(65.74421413039092, 12.436925186453086), (65.74421413039092, 12.440925186453086), (65.74421413039092, 12.444925186453085), (65.74421413039092, 12.448925186453085), (65.74421413039092, 12.452925186453085), (65.74821413039092, 12.436925186453086), (65.74821413039092, 12.440925186453086), (65.74821413039092, 12.444925186453085), (65.74821413039092, 12.448925186453085), (65.74821413039092, 12.452925186453085)]"
Værøy,"[(67.66887728089452, 12.678118439543134), (67.66887728089452, 12.682118439543133), (67.66887728089452, 12.686118439543133), (67.66887728089452, 12.690118439543133), (67.66887728089452, 12.694118439543132), (67.67287728089453, 12.678118439543134), (67.67287728089453, 12.682118439543133), (67.67287728089453, 12.686118439543133), (67.67287728089453, 12.690118439543133), (67.67287728089453, 12.694118439543132)]"
Vågan,"[(68.2856598461395, 14.55400612617287), (68.2856598461395, 14.55800612617287), (68.2856598461395, 14.56200612617287), (68.2856598461395, 14.56600612617287), (68.2856598461395, 14.570006126172869), (68.2896598461395, 14.55400612617287), (68.2896598461395, 14.55800612617287), (68.2896598461395, 14.56200612617287), (68.2896598461395, 14.56600612617287), (68.2896598461395, 14.570006126172869)]"
Øksnes,"[(68.9139484617354, 15.1643598939847), (68.9139484617354, 15.1683598939847), (68.9139484617354, 15.1723598939847), (68.9139484617354, 15.1763598939847), (68.9139484617354, 15.180359893984699), (68.9179484617354, 15.1643598939847), (68.9179484617354, 15.1683598939847), (68.9179484617354, 15.1723598939847), (68.9179484617354, 15.1763598939847), (68.9179484617354, 15.180359893984699)]"
Balsfjord,"[(69.23903958683808, 19.21473699854166), (69.23903958683808, 19.21873699854166), (69.23903958683808, 19.222736998541663), (69.23903958683808, 19.226736998541664), (69.23903958683808, 19.230736998541666), (69.24303958683808, 19.21473699854166), (69.24303958683808, 19.21873699854166), (69.24303958683808, 19.222736998541663), (69.24303958683808, 19.226736998541664), (69.24303958683808, 19.230736998541666), (69.24703958683808, 19.21473699854166)]"
Bardu,"[(68.86301251778255, 18.346344155995578), (68.86301251778255, 18.35034415599558), (68.86301251778255, 18.35434415599558), (68.86301251778255, 18.35834415599558), (68.86301251778255, 18.362344155995583), (68.86701251778256, 18.346344155995578), (68.86701251778256, 18.35034415599558), (68.86701251778256, 18.35434415599558), (68.86701251778256, 18.35834415599558), (68.86701251778256, 18.362344155995583), (68.87101251778256, 18.346344155995578)]"
Berg,"[(69.44593332980989, 17.287603574531538), (69.44593332980989, 17.29160357453154), (69.44593332980989, 17.29560357453154), (69.44593332980989, 17.29960357453154), (69.44593332980989, 17.303603574531543), (69.4499333298099, 17.287603574531538), (69.4499333298099, 17.29160357453154), (69.4499333298099, 17.29560357453154), (69.4499333298099, 17.29960357453154), (69.4499333298099, 17.303603574531543)]"
Dyrøy,"[(69.08991674470057, 17.702471477864957), (69.08991674470057, 17.70647147786496), (69.08991674470057, 17.71047147786496), (69.08991674470057, 17.71447147786496), (69.08991674470057, 17.718471477864963), (69.09391674470058, 17.702471477864957), (69.09391674470058, 17.70647147786496), (69.09391674470058, 17.71047147786496), (69.09391674470058, 17.71447147786496), (69.09391674470058, 17.718471477864963)]"
Gáivuona/Kåfjord,"[(69.46489881088354, 20.634063609979535), (69.46889881088354, 20.61806360997953), (69.46889881088354, 20.62206360997953), (69.46889881088354, 20.626063609979532), (69.46889881088354, 20.630063609979533), (69.46889881088354, 20.634063609979535), (69.47289881088355, 20.61806360997953), (69.47289881088355, 20.62206360997953), (69.47289881088355, 20.626063609979532), (69.47289881088355, 20.630063609979533), (69.47289881088355, 20.634063609979535), (69.47689881088355, 20.61806360997953), (69.47689881088355, 20.62206360997953)]"
Gratangen,"[(68.6173694823364, 17.49766185473337), (68.6173694823364, 17.50166185473337), (68.6173694823364, 17.505661854733372), (68.6173694823364, 17.509661854733373), (68.6173694823364, 17.513661854733375), (68.6213694823364, 17.49766185473337), (68.6213694823364, 17.50166185473337), (68.6213694823364, 17.505661854733372), (68.6213694823364, 17.509661854733373), (68.6213694823364, 17.513661854733375)]"
Harstad,"[(68.79946507274644, 16.526512470584606), (68.79946507274644, 16.530512470584608), (68.79946507274644, 16.53451247058461), (68.79946507274644, 16.53851247058461), (68.79946507274644, 16.54251247058461), (68.80346507274645, 16.526512470584606), (68.80346507274645, 16.530512470584608), (68.80346507274645, 16.53451247058461), (68.80346507274645, 16.53851247058461), (68.80346507274645, 16.54251247058461)]"
Ibestad,"[(68.78439043490779, 17.095245671571767), (68.78439043490779, 17.09924567157177), (68.78439043490779, 17.10324567157177), (68.78439043490779, 17.10724567157177), (68.78439043490779, 17.111245671571773), (68.7883904349078, 17.095245671571767), (68.7883904349078, 17.09924567157177), (68.7883904349078, 17.10324567157177), (68.7883904349078, 17.10724567157177), (68.7883904349078, 17.111245671571773)]"
Karlsøy,"[(69.90786249645217, 19.9678532961852), (69.91186249645217, 19.951853296185195), (69.91186249645217, 19.955853296185197), (69.91186249645217, 19.959853296185198), (69.91186249645217, 19.9638532961852), (69.91186249645217, 19.9678532961852), (69.91586249645218, 19.951853296185195), (69.91586249645218, 19.955853296185197), (69.91586249645218, 19.959853296185198), (69.91586249645218, 19.9638532961852), (69.91586249645218, 19.9678532961852), (69.91986249645218, 19.951853296185195), (69.91986249645218, 19.955853296185197)]"
Kvæfjord,"[(68.7654720917447, 16.30143456830587), (68.7654720917447, 16.30543456830587), (68.7654720917447, 16.30943456830587), (68.7654720917447, 16.313434568305873), (68.7654720917447, 16.317434568305874), (68.7694720917447, 16.30143456830587), (68.7694720917447, 16.30543456830587), (68.7694720917447, 16.30943456830587), (68.7694720917447, 16.313434568305873), (68.7694720917447, 16.317434568305874)]"
Kvænangen,"[(69.92749346174477, 22.04435069516871), (69.93149346174478, 22.032350695168706), (69.93149346174478, 22.036350695168707), (69.93149346174478, 22.04035069516871), (69.93149346174478, 22.04435069516871), (69.93549346174478, 22.028350695168704), (69.93549346174478, 22.032350695168706), (69.93549346174478, 22.036350695168707), (69.93549346174478, 22.04035069516871), (69.93549346174478, 22.04435069516871), (69.93949346174479, 22.028350695168704), (69.93949346174479, 22.032350695168706)]"
Lavangen,"[(68.76702201965044, 17.68785066431403), (68.76702201965044, 17.691850664314032), (68.76702201965044, 17.695850664314033), (68.76702201965044, 17.699850664314035), (68.76702201965044, 17.703850664314036), (68.77102201965045, 17.68785066431403), (68.77102201965045, 17.691850664314032), (68.77102201965045, 17.695850664314033), (68.77102201965045, 17.699850664314035), (68.77102201965045, 17.703850664314036)]"
Lenvik,"[(69.36427223389414, 17.940537605075924), (69.36427223389414, 17.944537605075926), (69.36427223389414, 17.948537605075927), (69.36427223389414, 17.95253760507593), (69.36427223389414, 17.95653760507593), (69.36827223389415, 17.940537605075924), (69.36827223389415, 17.944537605075926), (69.36827223389415, 17.948537605075927), (69.36827223389415, 17.95253760507593), (69.36827223389415, 17.95653760507593)]"
Lyngen,"[(69.56767149739471, 20.223276111636103), (69.57167149739472, 20.207276111636098), (69.57167149739472, 20.2112761116361), (69.57167149739472, 20.2152761116361), (69.57167149739472, 20.219276111636102), (69.57167149739472, 20.223276111636103), (69.57567149739472, 20.207276111636098), (69.57567149739472, 20.2112761116361), (69.57567149739472, 20.2152761116361), (69.57567149739472, 20.219276111636102), (69.57567149739472, 20.223276111636103), (69.57967149739473, 20.207276111636098), (69.57967149739473, 20.2112761116361)]"
Målselv,"[(69.10065107484635, 18.58403099858876), (69.10065107484635, 18.58803099858876), (69.10065107484635, 18.59203099858876), (69.10065107484635, 18.596030998588763), (69.10065107484635, 18.600030998588764), (69.10465107484636, 18.58403099858876), (69.10465107484636, 18.58803099858876), (69.10465107484636, 18.59203099858876), (69.10465107484636, 18.596030998588763), (69.10465107484636, 18.600030998588764), (69.10865107484636, 18.58403099858876)]"
Nordreisa,"[(69.73927122548659, 21.04503135200976), (69.7432712254866, 21.033031352009758), (69.7432712254866, 21.03703135200976), (69.7432712254866, 21.04103135200976), (69.7432712254866, 21.04503135200976), (69.7472712254866, 21.029031352009756), (69.7472712254866, 21.033031352009758), (69.7472712254866, 21.03703135200976), (69.7472712254866, 21.04103135200976), (69.7472712254866, 21.04503135200976), (69.7512712254866, 21.029031352009756), (69.7512712254866, 21.033031352009758)]"
Salangen,"[(68.91728650574366, 17.83086381479422), (68.91728650574366, 17.834863814794222), (68.91728650574366, 17.838863814794223), (68.91728650574366, 17.842863814794224), (68.91728650574366, 17.846863814794226), (68.92128650574367, 17.83086381479422), (68.92128650574367, 17.834863814794222), (68.92128650574367, 17.838863814794223), (68.92128650574367, 17.842863814794224), (68.92128650574367, 17.846863814794226)]"
Skjervøy,"[(70.0299354144389, 20.97140966094486), (70.0339354144389, 20.959409660944857), (70.0339354144389, 20.96340966094486), (70.0339354144389, 20.96740966094486), (70.0339354144389, 20.97140966094486), (70.0379354144389, 20.955409660944856), (70.0379354144389, 20.959409660944857), (70.0379354144389, 20.96340966094486), (70.0379354144389, 20.96740966094486), (70.0379354144389, 20.97140966094486), (70.04193541443891, 20.955409660944856), (70.04193541443891, 20.959409660944857)]"
Skånland,"[(68.58384534064541, 16.560865325942725), (68.58384534064541, 16.564865325942726), (68.58384534064541, 16.568865325942728), (68.58384534064541, 16.57286532594273), (68.58384534064541, 16.57686532594273), (68.58784534064542, 16.560865325942725), (68.58784534064542, 16.564865325942726), (68.58784534064542, 16.568865325942728), (68.58784534064542, 16.57286532594273), (68.58784534064542, 16.57686532594273)]"
Storfjord,"[(69.37639434274502, 19.998211053584715), (69.38039434274502, 19.98221105358471), (69.38039434274502, 19.98621105358471), (69.38039434274502, 19.990211053584712), (69.38039434274502, 19.994211053584714), (69.38039434274502, 19.998211053584715), (69.38439434274503, 19.98221105358471), (69.38439434274503, 19.98621105358471), (69.38439434274503, 19.990211053584712), (69.38439434274503, 19.994211053584714), (69.38439434274503, 19.998211053584715), (69.38839434274503, 19.98221105358471), (69.38839434274503, 19.98621105358471)]"
Sørreisa,"[(69.1453303574393, 18.13770331167587), (69.1453303574393, 18.141703311675872), (69.1453303574393, 18.145703311675874), (69.1453303574393, 18.149703311675875), (69.1453303574393, 18.153703311675876), (69.14933035743931, 18.13770331167587), (69.14933035743931, 18.141703311675872), (69.14933035743931, 18.145703311675874), (69.14933035743931, 18.149703311675875), (69.14933035743931, 18.153703311675876), (69.15333035743932, 18.13770331167587)]"
Torsken,"[(69.39473592659078, 17.078325866599393), (69.39473592659078, 17.082325866599394), (69.39473592659078, 17.086325866599395), (69.39473592659078, 17.090325866599397), (69.39473592659078, 17.094325866599398), (69.39873592659079, 17.078325866599393), (69.39873592659079, 17.082325866599394), (69.39873592659079, 17.086325866599395), (69.39873592659079, 17.090325866599397), (69.39873592659079, 17.094325866599398)]"
Tranøy,"[(69.19297182496899, 17.41235064207448), (69.19297182496899, 17.41635064207448), (69.19297182496899, 17.42035064207448), (69.19297182496899, 17.424350642074483), (69.19297182496899, 17.428350642074484), (69.196971824969, 17.41235064207448), (69.196971824969, 17.41635064207448), (69.196971824969, 17.42035064207448), (69.196971824969, 17.424350642074483), (69.196971824969, 17.428350642074484)]"
Tromsø,"[(69.64993921761238, 18.934937313596098), (69.64993921761238, 18.9389373135961), (69.64993921761238, 18.9429373135961), (69.64993921761238, 18.946937313596102), (69.64993921761238, 18.950937313596103), (69.65393921761239, 18.934937313596098), (69.65393921761239, 18.9389373135961), (69.65393921761239, 18.9429373135961), (69.65393921761239, 18.946937313596102), (69.65393921761239, 18.950937313596103), (69.6579392176124, 18.934937313596098)]"
Alta,"[(69.96478094715496, 23.268692291128033), (69.96878094715497, 23.25669229112803), (69.96878094715497, 23.26069229112803), (69.96878094715497, 23.264692291128032), (69.96878094715497, 23.268692291128033), (69.97278094715497, 23.252692291128028), (69.97278094715497, 23.25669229112803), (69.97278094715497, 23.26069229112803), (69.97278094715497, 23.264692291128032), (69.97278094715497, 23.268692291128033), (69.97678094715498, 23.252692291128028), (69.97678094715498, 23.25669229112803)]"
Berlevåg,"[(70.85483004942043, 29.084984767622018), (70.85883004942043, 29.080984767622017), (70.85883004942043, 29.084984767622018), (70.86283004942044, 29.072984767622014), (70.86283004942044, 29.076984767622015), (70.86283004942044, 29.080984767622017), (70.86283004942044, 29.084984767622018), (70.86683004942044, 29.068984767622013), (70.86683004942044, 29.072984767622014), (70.86683004942044, 29.076984767622015), (70.86683004942044, 29.080984767622017), (70.86683004942044, 29.084984767622018), (70.87083004942045, 29.072984767622014), (70.87083004942045, 29.076984767622015)]"
Båtsfjord,"[(70.61794285614113, 29.746809639208212), (70.62194285614113, 29.74280963920821), (70.62194285614113, 29.746809639208212), (70.62594285614114, 29.73480963920821), (70.62594285614114, 29.73880963920821), (70.62594285614114, 29.74280963920821), (70.62594285614114, 29.746809639208212), (70.62994285614114, 29.730809639208207), (70.62994285614114, 29.73480963920821), (70.62994285614114, 29.73880963920821), (70.62994285614114, 29.74280963920821), (70.62994285614114, 29.746809639208212), (70.63394285614115, 29.73480963920821), (70.63394285614115, 29.73880963920821)]"
Deanu/Tana,"[(70.19148311572204, 28.163291528246063), (70.19548311572204, 28.15929152824606), (70.19548311572204, 28.163291528246063), (70.19948311572205, 28.15129152824606), (70.19948311572205, 28.15529152824606), (70.19948311572205, 28.15929152824606), (70.19948311572205, 28.163291528246063), (70.20348311572205, 28.147291528246058), (70.20348311572205, 28.15129152824606), (70.20348311572205, 28.15529152824606), (70.20348311572205, 28.15929152824606), (70.20348311572205, 28.163291528246063), (70.20748311572206, 28.15129152824606), (70.20748311572206, 28.15529152824606)]"
Gamvik,"[(71.04684487786535, 28.23665814092909), (71.05084487786536, 28.23265814092909), (71.05084487786536, 28.23665814092909), (71.05484487786536, 28.224658140929087), (71.05484487786536, 28.228658140929088), (71.05484487786536, 28.23265814092909), (71.05484487786536, 28.23665814092909), (71.05884487786537, 28.220658140929086), (71.05884487786537, 28.224658140929087), (71.05884487786537, 28.228658140929088), (71.05884487786537, 28.23265814092909), (71.05884487786537, 28.23665814092909), (71.06284487786537, 28.220658140929086), (71.06284487786537, 28.224658140929087), (71.06284487786537, 28.228658140929088)]"
Guovdageaidnu/Kautokeino,"[(68.9989093382106, 23.053643934187644), (69.0029093382106, 23.04164393418764), (69.0029093382106, 23.04564393418764), (69.0029093382106, 23.049643934187642), (69.0029093382106, 23.053643934187644), (69.0069093382106, 23.03764393418764), (69.0069093382106, 23.04164393418764), (69.0069093382106, 23.04564393418764), (69.0069093382106, 23.049643934187642), (69.0069093382106, 23.053643934187644), (69.01090933821061, 23.03764393418764), (69.01090933821061, 23.04164393418764)]"
Hammerfest,"[(70.65921419375807, 23.68788478747862), (70.65921419375807, 23.69188478747862), (70.66321419375808, 23.679884787478617), (70.66321419375808, 23.68388478747862), (70.66321419375808, 23.68788478747862), (70.66321419375808, 23.69188478747862), (70.66721419375808, 23.675884787478616), (70.66721419375808, 23.679884787478617), (70.66721419375808, 23.68388478747862), (70.66721419375808, 23.68788478747862), (70.66721419375808, 23.69188478747862), (70.67121419375809, 23.675884787478616), (70.67121419375809, 23.679884787478617), (70.67121419375809, 23.68388478747862)]"
Hasvik,"[(70.4823171741153, 22.15624545013466), (70.4863171741153, 22.144245450134655), (70.4863171741153, 22.148245450134656), (70.4863171741153, 22.152245450134657), (70.4863171741153, 22.15624545013466), (70.4903171741153, 22.140245450134653), (70.4903171741153, 22.144245450134655), (70.4903171741153, 22.148245450134656), (70.4903171741153, 22.152245450134657), (70.4903171741153, 22.15624545013466), (70.49431717411531, 22.140245450134653), (70.49431717411531, 22.144245450134655)]"
Kárášjoga/Karasjok,"[(69.46272724870413, 25.521542196549333), (69.46272724870413, 25.525542196549335), (69.46672724870413, 25.51354219654933), (69.46672724870413, 25.517542196549332), (69.46672724870413, 25.521542196549333), (69.46672724870413, 25.525542196549335), (69.47072724870414, 25.50954219654933), (69.47072724870414, 25.51354219654933), (69.47072724870414, 25.517542196549332), (69.47072724870414, 25.521542196549333), (69.47072724870414, 25.525542196549335), (69.47472724870414, 25.51354219654933), (69.47472724870414, 25.517542196549332)]"
Kvalsund,"[(70.50811229564408, 24.002214350857397), (70.50811229564408, 24.006214350857398), (70.51211229564409, 23.994214350857394), (70.51211229564409, 23.998214350857396), (70.51211229564409, 24.002214350857397), (70.51211229564409, 24.006214350857398), (70.51611229564409, 23.990214350857393), (70.51611229564409, 23.994214350857394), (70.51611229564409, 23.998214350857396), (70.51611229564409, 24.002214350857397), (70.51611229564409, 24.006214350857398), (70.5201122956441, 23.990214350857393), (70.5201122956441, 23.994214350857394), (70.5201122956441, 23.998214350857396)]"
Lebesby,"[(70.56937492678027, 27.00578922835161), (70.56937492678027, 27.00978922835161), (70.57337492678028, 26.997789228351607), (70.57337492678028, 27.00178922835161), (70.57337492678028, 27.00578922835161), (70.57337492678028, 27.00978922835161), (70.57737492678028, 26.993789228351606), (70.57737492678028, 26.997789228351607), (70.57737492678028, 27.00178922835161), (70.57737492678028, 27.00578922835161), (70.57737492678028, 27.00978922835161), (70.58137492678028, 26.993789228351606), (70.58137492678028, 26.997789228351607), (70.58137492678028, 27.00178922835161)]"
Loppa,"[(70.23931422459992, 22.364771202816335), (70.24331422459993, 22.35277120281633), (70.24331422459993, 22.356771202816333), (70.24331422459993, 22.360771202816334), (70.24331422459993, 22.364771202816335), (70.24731422459993, 22.34877120281633), (70.24731422459993, 22.35277120281633), (70.24731422459993, 22.356771202816333), (70.24731422459993, 22.360771202816334), (70.24731422459993, 22.364771202816335), (70.25131422459994, 22.34877120281633), (70.25131422459994, 22.35277120281633)]"
Måsøy,"[(70.99047410380676, 24.66865897329989), (70.99047410380676, 24.672658973299892), (70.99447410380677, 24.66065897329989), (70.99447410380677, 24.66465897329989), (70.99447410380677, 24.66865897329989), (70.99447410380677, 24.672658973299892), (70.99847410380677, 24.656658973299887), (70.99847410380677, 24.66065897329989), (70.99847410380677, 24.66465897329989), (70.99847410380677, 24.66865897329989), (70.99847410380677, 24.672658973299892), (71.00247410380678, 24.656658973299887), (71.00247410380678, 24.66065897329989), (71.00247410380678, 24.66465897329989)]"
Nordkapp,"[(71.15534901121157, 25.790803686362256), (71.15534901121157, 25.794803686362258), (71.15934901121157, 25.782803686362254), (71.15934901121157, 25.786803686362255), (71.15934901121157, 25.790803686362256), (71.15934901121157, 25.794803686362258), (71.16334901121158, 25.778803686362252), (71.16334901121158, 25.782803686362254), (71.16334901121158, 25.786803686362255), (71.16334901121158, 25.790803686362256), (71.16334901121158, 25.794803686362258), (71.16734901121158, 25.778803686362252), (71.16734901121158, 25.782803686362254), (71.16734901121158, 25.786803686362255)]"
Porsanger,"[(70.04890629238103, 24.96950871798558), (70.04890629238103, 24.97350871798558), (70.05290629238104, 24.961508717985577), (70.05290629238104, 24.96550871798558), (70.05290629238104, 24.96950871798558), (70.05290629238104, 24.97350871798558), (70.05690629238104, 24.957508717985576), (70.05690629238104, 24.961508717985577), (70.05690629238104, 24.96550871798558), (70.05690629238104, 24.96950871798558), (70.05690629238104, 24.97350871798558), (70.06090629238105, 24.957508717985576), (70.06090629238105, 24.961508717985577), (70.06090629238105, 24.96550871798558)]"
Sør-Varanger,"[(69.6621879672178, 29.98610654517871), (69.6621879672178, 29.990106545178712), (69.66618796721781, 29.978106545178708), (69.66618796721781, 29.98210654517871), (69.66618796721781, 29.98610654517871), (69.66618796721781, 29.990106545178712), (69.67018796721781, 29.974106545178707), (69.67018796721781, 29.978106545178708), (69.67018796721781, 29.98210654517871), (69.67018796721781, 29.98610654517871), (69.67018796721781, 29.990106545178712), (69.67418796721782, 29.978106545178708), (69.67418796721782, 29.98210654517871)]"
Unjárga/Nesseby,"[(70.13627571577935, 28.882499736951196), (70.14027571577935, 28.878499736951195), (70.14027571577935, 28.882499736951196), (70.14427571577936, 28.870499736951192), (70.14427571577936, 28.874499736951194), (70.14427571577936, 28.878499736951195), (70.14427571577936, 28.882499736951196), (70.14827571577936, 28.86649973695119), (70.14827571577936, 28.870499736951192), (70.14827571577936, 28.874499736951194), (70.14827571577936, 28.878499736951195), (70.14827571577936, 28.882499736951196), (70.15227571577937, 28.870499736951192), (70.15227571577937, 28.874499736951194)]"
Vadsø,"[(70.0654099583244, 29.750184439830093), (70.0694099583244, 29.746184439830092), (70.0694099583244, 29.750184439830093), (70.0734099583244, 29.73818443983009), (70.0734099583244, 29.74218443983009), (70.0734099583244, 29.746184439830092), (70.0734099583244, 29.750184439830093), (70.07740995832441, 29.734184439830088), (70.07740995832441, 29.73818443983009), (70.07740995832441, 29.74218443983009), (70.07740995832441, 29.746184439830092), (70.07740995832441, 29.750184439830093), (70.08140995832441, 29.73818443983009), (70.08140995832441, 29.74218443983009)]"
Vardø,"[(70.36410864241977, 31.11661150128838), (70.36410864241977, 31.12061150128838), (70.36810864241977, 31.108611501288376), (70.36810864241977, 31.112611501288377), (70.36810864241977, 31.11661150128838), (70.36810864241977, 31.12061150128838), (70.37210864241978, 31.104611501288375), (70.37210864241978, 31.108611501288376), (70.37210864241978, 31.112611501288377), (70.37210864241978, 31.11661150128838), (70.37210864241978, 31.12061150128838), (70.37610864241978, 31.108611501288376), (70.37610864241978, 31.112611501288377)]"
