Municipality,Elevation
Horten,"[21.10893630981445, 5.99885892868042, 0, 0, 17.43760681152344, 12.99746704101562, 3.040299654006958, 3.384381055831909]"
Larvik,"[75.36087799072266, 45.8232421875, 44.88799285888672, 45.85721588134766, 71.2523422241211, 67.03302764892578, 66.51166534423828, 65.39308166503906]"
Re,"[52.82625198364258, 62.80139923095703, 85.98387145996094, 86.97607421875, 42.36121368408203, 60.99143600463867, 60.91543579101562, 78.42517852783203]"
Sande,"[21.94232559204102, 3.034097671508789, 0, 0, 0, 0, 0, 0, 0, -2.39093542098999]"
Sandefjord,"[26.60307693481445, 35.98055267333984, 68.65533447265625, 35.83997344970703, 36.84228515625, 59.52486038208008, 35.05180740356445, 12.05052661895752]"
Svelvik,"[78.08426666259766, 6.251772403717041, 0, 0, 54.32049560546875, 12.26282691955566, 0, 3.16459059715271]"
Tønsberg,"[4.403908252716064, 0, 0, 5.963668823242188, 0, 0, 35.31943893432617, 20.64417457580566]"
Bø,"[291.1566772460938, 247.3556671142578, 226.4945220947266, 189.3776397705078, 101.9017562866211, 393.8707885742188, 466.7657775878906, 457.1419372558594, 365.7333984375, 277.2898559570312]"
Drangedal,"[110.8291397094727, 107.312629699707, 89.33067321777344, 101.204719543457, 143.8093566894531, 115.7326126098633, 111.137092590332, 91.20221710205078]"
Fyresdal,"[292.3582458496094, 296.4067687988281, 315.8270568847656, 332.308349609375, 294.1396484375, 301.3831787109375, 309.6965637207031, 328.1936340332031]"
Hjartdal,"[632.9613647460938, 616.0375366210938, 606.5758056640625, 581.8765869140625, 649.7813110351562, 649.4861450195312, 651.5830078125, 583.6205444335938]"
Kragerø,"[46.02998352050781, 22.00509643554688, 4.732912063598633, 3.270586013793945, 68.22978973388672, 60.58288192749023, 12.69582271575928, 0]"
