Municipality,Latitude,Longitude,Beta,Char
Ørsta,62.19982,6.12905,3.800000525409117,3.3512084401568862
Ålesund,62.47478,6.1865,3.800000630142929,3.41078105750413
Flatanger,64.50182,10.89724,3.8000003032448935,2.3869940043185562
Fosnes,64.6753,11.2886,3.8000000399117786,2.9906163259989604
Frosta,63.5833,10.7667,3.7999989925080198,2.454260158128687
Frøya,63.7256,8.8347,3.799998174123135,2.1515340343723124
Grong,64.4561,12.3122,3.7999996113305308,5.35954745354349
Heim,63.2903,9.0919,3.7999990272651805,2.9330943850029763
Hitra,63.6033,8.9708,3.800000177187533,2.493873083856246
Holtålen,62.84,11.3003,3.8000001133998103,4.8579264103940565
Høylandet,64.6323,12.3029,3.799999626213064,4.740678122852769
Inderøy,63.8756,11.2914,3.799998755284103,3.103221043343754
Indre Fosen,63.5804,10.2241,3.800000107393741,6.677510262085386
Klæbu,63.3161,10.3947,3.799999764918486,4.505839398312064
Leka,65.0994,11.6528,3.7999998560936397,3.5879078202283035
Levanger,63.7461,11.2994,3.799998358778712,2.565843520746255
Lierne,64.4742,13.6019,3.799999783689185,5.447564655229932
Malvik,63.4211,10.8072,3.7999994835452657,2.1412627706385194
Orkland,63.0561,9.7122,3.799999268316016,4.298871801554778
Meråker,63.4247,11.7444,3.800000118197825,3.976652649341827
Midtre Gauldal,62.9525,10.4867,3.7999999843485264,4.391033134907549
Namsos - Nåavmesjenjaelmie,64.47119,11.50364,3.79999950446757,4.432474630969935
Namsskogan,64.9239,13.1569,3.8000001470304743,7.301174947475003
Oppdal,62.5944,9.6914,3.799999839422499,5.032865154701441
Selbu,63.2167,11.0311,3.7999992517566414,2.766939693170035
Trondheim - Tråante,63.4305,10.3951,3.7999996548804336,2.875475213707889
Tydal,63.0225,11.9325,3.8000001583449348,7.384186496362792
Verdal,63.7931,11.4814,3.7999993318343956,2.2115851020309156
Ørland,63.6881,9.6672,3.799999348488976,2.4941858909031387
Stjørdal,63.46802,10.93058,3.799999519034271,2.225017740400673
Osen,64.30454,10.53651,3.799999320634624,3.9271842857221735
Skaun,63.3261,10.04314,3.7999998711835525,3.9841413038529394
Melhus,63.28568,10.28068,3.8000009594259034,2.3539943729368833
Nærøysund,64.86948,11.23734,3.799999709504901,2.6625259154473113
Steinkjer,64.01206,11.50389,3.8000003920697534,2.971463639913407
Åfjord,63.9647,10.23636,3.799999229532725,2.424626619779961
Rennebu,62.82901,10.00342,3.800000371242452,4.410375342921513
Overhalla,64.49428,11.94327,3.8000005539952926,5.070252656465538
Rosse - Røros,62.57561,11.38178,3.7999991452131727,2.822147814062916
Raarvihke - Røyrvik,64.89123,13.5578,3.800000254473569,8.858056959726627
Snåase - Snåsa,64.24588,12.38517,3.799999862746579,4.248349706684697
Alstahaug,65.9442,12.4703,3.800000047483431,2.7356124032767077
Andøy,69.3,16.1333,3.799999582549441,5.323122462735133
Ballangen,68.3417,16.8333,3.7999991469530623,3.1213072444958883
Beiarn,67.0333,14.5667,3.7999999886100153,4.868912439471555
Bindal,65.08718,12.37237,3.7999999478567195,3.9559373952045003
Bodø,67.2804,14.4049,3.799999993567185,2.7192643808586956
Brønnøy,65.46598,12.20515,3.799999490370566,3.787903450514591
Dønna,66.0667,12.5167,3.7999994301071944,3.5325803301424754
Evenes - Evenášši,68.5,16.7667,3.7999997347953207,6.146192934887875
Fauske - Fuossko,67.2583,15.3906,3.8000000922404924,3.5177879850195897
Flakstad,68.1,13.25,3.7999996276945125,5.456593432538755
Gildeskål,67.0333,14.0167,3.8000002142635476,3.220857906378261
Grane,65.5667,13.3833,3.799999293456151,5.371292637685646
Hadsel,68.5592,14.90259,3.7999992222489976,4.452950414598324
Hábmer - Hamarøy,68.0833,15.6333,3.7999998374986075,3.87148137899552
Aarborte - Hattfjelldal,65.59828,13.99871,3.7999995865331395,6.904170456571086
Hemnes,66.2167,14.1,3.799999732863903,10.903520777787245
Leirfjord,66.0833,12.8833,3.8000004148066533,5.651353881071276
Lurøy,66.37527,13.1292,3.8000001631728217,12.547803635272585
Lødingen,68.4083,15.9933,3.80000053807422,4.101683684780925
Meløy,66.87464,13.71313,3.7999991966509676,3.524036446551436
Moskenes,67.9167,13.0,3.7999997722016943,12.046293669894876
