Municipality,Latitude,Longitude,Beta
Bardu,68.8667,18.35,3.9054103915911123
Dyrøy,69.0928,17.7083,3.6396741978898506
Gáivuotna - Kåfjord - Kaivuono,69.4667,20.6333,4.271262427168786
Gratangen,68.6167,17.5,4.165687056823251
Harstad - Hárstták,68.7983,16.5414,3.882167661983385
Ibestad,68.7833,17.1,3.9106943629239823
Karlsøy,69.96286,19.61316,3.3149333526271776
Kvæfjord,68.7667,16.3167,3.7913098480644707
Kvænangen,69.9333,22.0333,3.281113633315006
Loabák - Lavangen,68.7667,17.7,4.12446146092698
Lenvik,69.3667,17.95,3.680709203380686
Lyngen,69.5792,20.2083,3.249321428325926
Målselv,69.1,18.6,3.7703461115993084
Nordreisa - Ráisa - Raisi,69.75,21.0333,3.831920137385819
Salangen,68.9167,17.8333,4.095624343573748
Skjervøy,69.9677,20.83246,4.530998803476595
Storfjord - Omasvuotna - Omasvuono,69.3833,19.9833,4.478336194352827
Sørreisa,69.1461,18.1564,3.8944778680123795
Senja,69.29636,17.60989,3.664679678427359
Tranøy,69.2,17.4167,3.4165072592999204
Tromsø,69.6723,18.94543,3.4752819617241255
Alta,69.9689,23.2717,3.904098756678465
Berlevåg,70.8578,29.0861,3.7059245713708564
Båtsfjord,70.6333,29.7333,3.4226715523122118
Deatnu - Tana,70.19991,28.17052,4.995009374390986
Gamvik,71.05,28.2333,4.216060832636757
Guovdageaidnu - Kautokeino,69.0111,23.0417,5.8414592871210935
Hammerfest - Hámmerfeasta,70.6634,23.6821,3.5458412530841885
Hasvik,70.58593,22.29272,2.911378430879383
Kárášjohka - Karasjok,69.4719,25.5114,5.721835371009906
Kvalsund,70.5075,24.0072,3.6190813702311138
Lebesby,70.5833,27.0,4.104571805658148
Loppa,70.25,22.35,3.436587817866841
Måsøy,71.0,24.6667,3.5301462032175523
Nordkapp,71.1667,25.7833,3.5376870862330914
Porsanger - Porsáŋgu - Porsanki,70.0519,24.9719,4.760527313017894
Sør-Varanger,69.6667,29.9833,5.240957689368429
Unjárga - Nesseby,70.1492,28.8661,5.282728795829967
Vadsø,70.07771,29.75464,4.306334151832831
