Municipality,Latitude,Longitude,Char
Aarborte - Hattfjelldal,65.59828,13.99871,2.0958295434289136
Hemnes,66.2167,14.1,-1.9035207777872447
Leirfjord,66.0833,12.8833,-0.6513538810712758
Lurøy,66.37527,13.1292,-7.547803635272585
Lødingen,68.4083,15.9933,0.3983163152190752
Meløy,66.87464,13.71313,0.475963553448564
Moskenes,67.9167,13.0,-6.046293669894876
Narvik,68.4385,17.4279,-1.146347850259935
Nesna,66.1961,13.0194,-0.2828178949252784
Rana,66.3106,14.1428,-0.13690491878989608
Rødøy,66.71277,13.29149,1.8601896565552507
Saltdal,66.8667,15.3667,1.3909279138668147
Sortland - Suortá,68.69728,15.39786,0.005513469705516805
Steigen,67.7833,15.0,0.392413440437577
Sømna,65.3167,12.1833,0.6929240979897822
Sørfold,67.3833,15.6333,0.2478972478752972
Dielddanuorri - Tjeldsund,68.5833,16.3667,-5.002085445511684
Tysfjord,68.1833,16.0,1.117334335620085
Vefsn,65.8667,13.1833,0.05032841050222192
Vefsn - langs fjorden,65.8667,13.1833,-0.9496715894977781
Vefsn - Mosjøen,65.8358,13.1903,-0.6612595869523812
Vega,65.6833,11.9333,-1.1792092044253266
Vestvågøy,68.25,13.6,-2.5128014518990094
Vevelstad,65.65799,12.43707,-8.953
Værøy,67.6667,12.6833,-1.7057252781677539
Vågan,68.2833,14.5667,-6.063437835203594
Øksnes,68.9167,15.1667,-1.0927573969928552
Balsfjord,69.2403,19.2186,0.7455075719889823
Bardu,68.8667,18.35,-0.5727013742597986
Dyrøy,69.0928,17.7083,-0.974306653413139
Gáivuotna - Kåfjord - Kaivuono,69.4667,20.6333,0.5051571395366441
Gratangen,68.6167,17.5,-0.4134139109464492
Harstad - Hárstták,68.7983,16.5414,-0.08658110023079235
Ibestad,68.7833,17.1,-0.2312257809531193
Karlsøy,69.96286,19.61316,-1.2000362966641607
Kvæfjord,68.7667,16.3167,-0.8182842924603193
Kvænangen,69.9333,22.0333,-0.7991323543812703
Loabák - Lavangen,68.7667,17.7,0.14194132106445423
Lenvik,69.3667,17.95,-1.652072141139998
Lyngen,69.5792,20.2083,-3.798926906154785
Målselv,69.1,18.6,0.08879416120934014
Nordreisa - Ráisa - Raisi,69.75,21.0333,-1.5431049684163947
Salangen,68.9167,17.8333,0.31041997001740107
Skjervøy,69.9677,20.83246,-1.4775527925717675
Storfjord - Omasvuotna - Omasvuono,69.3833,19.9833,1.1204770713261896
Sørreisa,69.1461,18.1564,0.237727015474535
Senja,69.29636,17.60989,-0.9999956397237142
Tranøy,69.2,17.4167,-2.3833673731391727
Tromsø,69.6723,18.94543,-1.1821435753877907
Alta,69.9689,23.2717,0.5258369643411354
Berlevåg,70.8578,29.0861,-1.253818733392027
Båtsfjord,70.6333,29.7333,-1.0499799644847734
Deatnu - Tana,70.19991,28.17052,1.7331281829297494
Gamvik,71.05,28.2333,0.4797097770664118
Guovdageaidnu - Kautokeino,69.0111,23.0417,2.0026283287142905
Hammerfest - Hámmerfeasta,70.6634,23.6821,-1.9410725158241533
Hasvik,70.58593,22.29272,-5.299136472529897
Kárášjohka - Karasjok,69.4719,25.5114,2.0259702009363014
Kvalsund,70.5075,24.0072,-1.1476729691684762
Lebesby,70.5833,27.0,0.5652430705962868
Loppa,70.25,22.35,-0.9708482618504277
Måsøy,71.0,24.6667,-2.060173443099238
Nordkapp,71.1667,25.7833,-3.5199999999999996
Porsanger - Porsáŋgu - Porsanki,70.0519,24.9719,1.5018115155207759
Sør-Varanger,69.6667,29.9833,1.8672040352730006
Unjárga - Nesseby,70.1492,28.8661,1.9974471873588917
Vadsø,70.07771,29.75464,0.7685505506573813
